472613c02cf7 2017.1.0f3
5d30cf096e79 2017.1.1f1
cc85bf6a8a04 2017.1.2f1
574eeb502d14 2017.1.3f1
9fd71167a288 2017.1.4f1
9758a36cfaa6 2017.1.5f1
46dda1414e51 2017.2.0f3
94bf3f9e6b5e 2017.2.1f1
1f4e0f9b6a50 2017.2.2f1
372229934efd 2017.2.3f1
f1557d1f61fd 2017.2.4f1
588dc79c95ed 2017.2.5f1
a9f86dcd79df 2017.3.0f3
fc1d3344e6ea 2017.3.1f1
b5bd171ee9ba 2017.4.0f1
f2cce2a5991f 2017.4.10f1
8c6b8ef6d111 2017.4.11f1
b582b87345b1 2017.4.12f1
6902ad48015d 2017.4.13f1
b28150134d55 2017.4.14f1
5d485b4897a7 2017.4.15f1
7f7bdd1ef02b 2017.4.16f1
05307cddbb71 2017.4.17f1
a9236f402e28 2017.4.18f1
47cd37c28be8 2017.4.19f1
9231f953d9d3 2017.4.1f1
413dbd19b6dc 2017.4.20f2
de35fe252486 2017.4.21f1
eb4bc6fa7f1d 2017.4.22f1
f80c8a98b1b5 2017.4.23f1
786769fc3439 2017.4.24f1
9cba1c3a94f1 2017.4.25f1
3b349d10f010 2017.4.26f1
0c4b856e4c6e 2017.4.27f1
e3a0f7dd2097 2017.4.28f1
06508aa14ca1 2017.4.29f1
52d9cb89b362 2017.4.2f2
c6fa43736cae 2017.4.30f1
9c8dbc3421cb 2017.4.31f1
4da3ed968770 2017.4.32f1
a8557a619e24 2017.4.33f1
121f18246307 2017.4.34f1
e57a7bcbbf0b 2017.4.35f1
c663def8414c 2017.4.36f1
78b69503ebc4 2017.4.37f1
82ac2fb100ce 2017.4.38f1
947131c5be7e 2017.4.39f1
21ae32b5a9cb 2017.4.3f1
6e14067f8a9a 2017.4.40f1
645c9050ba4d 2017.4.4f1
89d1db9cb682 2017.4.5f1
c24f30193bac 2017.4.6f1
de9eb5ca33c5 2017.4.7f1
5ab7f4878ef1 2017.4.8f1
6d84dfc57ccf 2017.4.9f1
d4d99f31acba 2018.1.0f2
b8cbb5de9840 2018.1.1f1
a46d718d282d 2018.1.2f1
a53ad04f7c7f 2018.1.3f1
1a308f4ebef1 2018.1.4f1
732dbf75922d 2018.1.5f1
57cc34175ccf 2018.1.6f1
4cb482063d12 2018.1.7f1
26051d4de9e9 2018.1.8f1
a6cc294b73ee 2018.1.9f2
787658998520 2018.2.0f2
674aa5a67ed5 2018.2.10f1
38bd7dec5000 2018.2.11f1
0a46ddfcfad4 2018.2.12f1
83fbdcd35118 2018.2.13f1
3262fb3b0716 2018.2.14f1
65e0713a5949 2018.2.15f1
39a4ac3d51f6 2018.2.16f1
88933597c842 2018.2.17f1
4550892b6062 2018.2.18f1
06990f28ba00 2018.2.19f1
1a9968d9f99c 2018.2.1f1
cef3e6c0c622 2018.2.20f1
a122f5dc316d 2018.2.21f1
c18cef34cbcd 2018.2.2f1
1431a7d2ced7 2018.2.3f1
cb262d9ddeaf 2018.2.4f1
3071d1717b71 2018.2.5f1
c591d9a97a0b 2018.2.6f1
4ebd28dd9664 2018.2.7f1
ae1180820377 2018.2.8f1
2207421190e9 2018.2.9f1
6e9a27477296 2018.3.0f2
f88de2c96e63 2018.3.10f1
5063218e4ab8 2018.3.11f1
8afd630d1f5b 2018.3.12f1
06548a9e9582 2018.3.13f1
d0e9f15437b1 2018.3.14f1
bb579dc42f1d 2018.3.1f1
b3c100a4b73a 2018.3.2f1
393bae82dbb8 2018.3.3f1
1d952368ca3a 2018.3.4f1
76b3e37670a4 2018.3.5f1
a220877bc173 2018.3.6f1
9e14d22a41bb 2018.3.7f1
fc0fe30d6d91 2018.3.8f1
947e1ea5aa8d 2018.3.9f1
b6ffa8986c8d 2018.4.0f1
a0470569e97b 2018.4.10f1
7098af2f11ea 2018.4.11f1
59ddc4c59b4f 2018.4.12f1
497f083a43af 2018.4.13f1
05119b33d0b7 2018.4.14f1
13f5a1bf9ca1 2018.4.15f1
e6e9ca02b32a 2018.4.16f1
b830f56f42f0 2018.4.17f1
61fce66342ad 2018.4.18f1
459f70f82ea4 2018.4.19f1
b7c424a951c0 2018.4.1f1
008688490035 2018.4.20f1
fd3915227633 2018.4.21f1
3362ffbb7aa1 2018.4.22f1
c9cf1a90e812 2018.4.23f1
3071911a89e9 2018.4.24f1
b07bfa0a8827 2018.4.25f1
a7ac1c6396db 2018.4.26f1
